间,jm
肩,jhi
艰,jya
监,jmi
兼,jb/
菅,jcoo
笺,jzee
犍,jnaee
缄,jjeu
煎,jlou
囡,nka
拣,jfe;
茧,jci
柬,jsou
俭,jruo
捡,jfuo
笕,jpia
检,jmu
减,jg;
剪,jdou
硷,jsuo
睑,jmuo
简,jue
骞,qnaa
戬,jgeii
碱,jseu
翦,jvou
蹇,qni
謇,qnoe
见,ji
件,jr
饯,jsee
建,jl
荐,jceu
贱,jbe
牮,jnui
剑,jqi
健,jra
舰,jzia
涧,jdoi
渐,jd;
谏,jyeia
践,jze
锏,jjoi
毽,jmae
腱,jvaee
溅,jdi
鉴,jji
键,jja
僭,jre;
踺,jzaee
箭,jp/
江,jd
将,jz
姜,jba
豇,jgeia
浆,jso
僵,jrei
缰,jjei
殭,jtei
礓,jseia
疆,jgei
讲,jye
奖,jd/
桨,jmoe
蒋,jco
耩,jvee
匠,jnuu
降,xpu
绛,jjuao
酱,jyo
犟,jn/
糨,jna;
交,jwu
郊,jp;
茭,jcoe
浇,jdea
娇,jnu
姣,jnoe
骄,jm;
胶,jv;
椒,jmie
蛟,je;
焦,jzo
跤,jzoe
蕉,jcui
礁,jsui
嚼,jk;
角,ju/
佼,jroe
挢,jfueu
狡,jqoe
饺,jsoe
绞,jjoe
铰,jjoeu
矫,jiu
皎,jb;
脚,jve
搅,jfoo
筊,jpoeu
剿,jlaa
缴,jiao
叫,jk
觉,jx
轿,jcu
较,jc;
教,jw
窖,jxue
酵,jyei
醮,jyui
阶,jai
疖,jbai
皆,jbui
接,jf
秸,jhei
揭,jf;
喈,jkea
嗟,jko
街,jce
孑,jzie
节,jc
讦,jyeei
劫,jle
杰,jm/
诘,jye;
拮,jfei
洁,jdei
结,jj
桀,jmuao
捷,jf/
婕,jnea
颉,jyeie
睫,jmea
截,jh/
碣,jsi;
竭,jlia
羯,jbia;
姐,nq
解,j/
介,jr/
戒,jge
芥,jcuo
玠,jwuo
届,jsi
界,jtu
疥,jbuo
诫,jyee
借,jre
巾,jii
斤,juu
今,rj
金,jp
津,jda
衿,jnuo
矜,jzoa
筋,jzu
襟,jnei
仅,ji;
紧,jxi
锦,jjui
谨,jy;
瑾,jwei
槿,jmeii
尽,js
进,je
近,jlu
妗,jnuoo
劲,jla
晋,jqe
烬,jhae
浸,jdae
靳,jguu
禁,js/
缙,jjei;
觐,jjeii
噤,jke
茎,jcao
京,jwi
泾,jdaoe
经,ja
荆,jlei
菁,jceei
旌,jfu;
惊,jl;
晶,jq/
腈,jveei
睛,jme
粳,jneia
兢,jsia
精,jn
鲸,jvoe
井,jv/
阱,jpeeu
颈,jyao
景,jqo
儆,jreii
憬,jliae
璟,jwia
警,jw/
径,jca
净,jgu
胫,jvao
痉,jbao
竞,jl/
竟,jt
婧,jnee
敬,jwe
靖,jlee
静,jqu
境,jto
镜,jjo
囧,jkuo
迥,jio
炯,jh;
窘,jxa
纠,jjai
鸠,jiua
究,jx/
赳,jta
阄,jmuai
揪,jfue
啾,jkue
鬏,jbue
九,jua
久,jxo
玖,jwuao
灸,jhu
韭,jeie
酒,jde
旧,jq;
臼,jui
咎,jkua
疚,jbua
柩,jmeu
救,jw;
厩,jiae
就,j_
舅,jtui
鹫,jioe
拘,jfu
狙,jqia
居,jse
驹,jmua
疽,jbia
掬,jfua
锔,jja;
雎,jlui
裾,jnae
鞠,jgua
局,jsa
桔,jmei
菊,jcua
焗,jhaeu
橘,jma;
咀,jki
沮,jdia
莒,jcia
矩,jie
举,jv
榘,jmue
巨,jna
句,jbi
拒,jfe
苣,jcea
具,jb
炬,jhea
钜,jjea
俱,jri
倨,jra;
剧,jlae
据,jfa
距,jz;
惧,jli
飓,jjuo
锯,jjae
聚,jva
踞,jzae
遽,jlie
捐,jfi
涓,jdia;
娟,jni
鹃,jiia
镌,jju;
卷,jj/
倦,jro
狷,jqiae
绢,jjia
眷,jmo
撅,jfeu
孓,jzio
决,jg
诀,jyae
抉,jfa;
玦,jwae
珏,jwee
绝,jju
掘,jfae
崛,jsae
厥,jiou
劂,jleu
谲,jya;
蕨,jceuo
獗,jqeu
橛,jme;
镢,jjeuo
爵,jzi
蹶,jzeu
矍,jyi
